date,year,type,country,state,location,activity,sex,age,injury,time,species
13-Dec-2022,2022.0,Unprovoked,USA,Hawaii,Anaeho'imalu Bay,Swimming,M,68,Injured,08h00,Tiger shark
11 Dec-2022,2022.0,Unprovoked,AUSTRALIA,New South ales,Killick Creek near Crescent Head,Swimming,M,15,Injured,-16h30,
09-Dec-2022,2022.0,Unprovoked,USA,Samoa,Pago Pago Harbor,Diving,M,43,Injured,12h00,
08-Dec-2022,2022.0,Unprovoked,USA,Hawaii,"Keawakapu Point, Kehei, Maui",Snorkeling,F,60,Fatal,12h00,Tiger shark
07-Dec-2022,2022.0,Unprovoked,USA,Texas,,Surfing,M,,Injured,,Black shark
27-Nov-2022,2022.0,Unprovoked,USA,Florida,Hobe Sound,Swimming,F,10,Injured,Afternoon,
04-Nov-2022,2022.0,Unprovoked,USA,California,"Del Mar Beach, San Diego County",Swimming,F,50,Injured,10h00,White shark
03-Nov-2022,2022.0,Provoked,USA,Florida,"Cape San Blas, Gulf County",Fishing,M,29,Injured,15h30,
31-Oct-2022,2022.0,Unprovoked,USA,California,"Otter Point, Pacific Grove",Surfing,M,,Minor inury from shark's fin,17h17,
28-Oct-2022,2022.0,Sea Disaster,USA,Louisiana,25 mikes from Empire,Fishing,M,40,Injured,Morning,
27-Oct-2022,2022.0,Provoked,USA,Mississippi,Horn Island,Fishing,M,,Injured,,5'shark
25 Oct-2022,2022.0,Unprovoked,USA,Hawaii,Kauai,Snorkeling,M,51,No injury,Afternoon,Tiger shark
23-Oct-2022,2022.0,Unprovoked,AUSTRALIA,South Australia,Seacliff,Surfing,M,19,No injury,11h15,3m shark
10-Oct-2022,2022.0,Provoked,USA,Florida,"Key Largo, Monroe County",Fishing,M,15,Injured,,Juvenile nurse shark
08-Oct-2022,2022.0,Unprovoked,USA,Louisiana,25 miles off Empire,Shipwreck,M,40,Injured,,
07-Oct-2022,2022.0,Unprovoked,AUSTRALIA,Western  Australia,Port Hedland,Fishing,M,38,Injured,11h30,Bull shark
06-Oct-2022,2022.0,Unprovoked,AUSTRALIA,Victoria,"Nun's Beach, Portland",Surfing,M,17,Injured,19h00,
02-Oct-2022,2022.0,Unprovoked,USA,California,Centerville Beach,Surfing,M,31,Injured,15h30,White shark
